Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume MXN,RRR,Rentabilidad,RR,,
1605830400,20/11/2020,ETHMXN,9555.11,9868.96,9543.44,9780.24,499.32,4866519.35,-45.08731875,-45.09%,0.01,,
1605744000,19/11/2020,ETHMXN,9755,9794.9,9508.33,9555.11,1039.12,9980970.75,19.23646932,19.24%,,,
1605657600,18/11/2020,ETHMXN,9770.77,10051.56,9367.13,9755,2979,28915161.27,0.529372273,0.53%,,,
1605571200,17/11/2020,ETHMXN,9329.21,9849.96,9050,9770.77,2598.47,25103585.95,-16.9930767,-16.99%,,,
1605484800,16/11/2020,ETHMXN,9144.83,9650,9096.27,9329.21,1756.14,16418175.31,-10.49916294,-10.50%,,,
1605398400,15/11/2020,ETHMXN,9427.35,9468.04,9029,9144.83,692.2,6376452.45,40.81479341,40.81%,,,
1605312000,14/11/2020,ETHMXN,9749.26,9750,9251,9427.35,822.31,7783568.46,39.14703701,39.15%,,,
1605225600,13/11/2020,ETHMXN,9522.22,9749.99,9430,9749.26,1321.28,12691337.12,-17.18333737,-17.18%,,,
1605139200,12/11/2020,ETHMXN,9480.14,9601.51,9250.01,9522.22,838.17,7903726.5,-5.020461243,-5.02%,,,
1605052800,11/11/2020,ETHMXN,9175.26,9761.91,9141.08,9480.14,1627.86,15522640.5,-18.72888332,-18.73%,,,
1604966400,10/11/2020,ETHMXN,9017.22,9234.69,8942.58,9175.26,948.07,8621442.93,-16.66965519,-16.67%,,,
1604880000,09/11/2020,ETHMXN,9310.01,9384.26,8838.54,9017.22,997.03,9049702.39,29.36621767,29.37%,,,
1604793600,08/11/2020,ETHMXN,8927.57,9448.97,8880.4,9310.01,1007.67,9309687.81,-37.95290125,-37.95%,,,
1604707200,07/11/2020,ETHMXN,9375.92,9653.15,8659.22,8927.57,2511.86,23010986.46,17.84932281,17.85%,,,
1604620800,06/11/2020,ETHMXN,8644.11,9430,8622.34,9375.92,3023.96,27419183.36,-24.20038625,-24.20%,,,
1604534400,05/11/2020,ETHMXN,8420.31,8710.15,8268.92,8644.11,2065.5,17650788.44,-10.83514887,-10.84%,,,
1604448000,04/11/2020,ETHMXN,8161.66,8585,8050,8420.31,1421.34,11855973.13,-18.19761633,-18.20%,,,
1604361600,03/11/2020,ETHMXN,8214.23,8249.97,7917.05,8161.66,920.02,7426284.24,5.714006217,5.71%,,,
1604275200,02/11/2020,ETHMXN,8450,8600,8050,8214.23,848.11,7091235.61,27.79945998,27.80%,,,
1604188800,01/11/2020,ETHMXN,8195.1,8450,8166.84,8450,385.59,3219575.77,-66.10648616,-66.11%,,,
1604102400,31/10/2020,ETHMXN,8111.6,8349.79,8100,8195.1,588,4829495.68,-14.20068027,-14.20%,,,
1604016000,30/10/2020,ETHMXN,8294.15,8382.46,8015.71,8111.6,890.27,7249015.69,20.50501533,20.51%,,,
1603929600,29/10/2020,ETHMXN,8268.27,8433.62,8164.35,8294.15,687.79,5715626.72,-3.762776429,-3.76%,,,
1603843200,28/10/2020,ETHMXN,8505.86,8603.59,7992.78,8268.27,1404.92,11559776.07,16.9112832,16.91%,,,
1603756800,27/10/2020,ETHMXN,8247.14,8720,8180,8505.86,1410.19,11882424.42,-18.34646395,-18.35%,,,
1603670400,26/10/2020,ETHMXN,8498.71,8600,8034.43,8247.14,1160.12,9605914.23,21.68482571,21.68%,,,
1603584000,25/10/2020,ETHMXN,8611.44,8692.63,8410.4,8498.71,343.45,2933581.34,32.82282719,32.82%,,,
1603497600,24/10/2020,ETHMXN,8531.69,8698.17,8493.19,8611.44,405.91,3495524.29,-19.64721244,-19.65%,,,
1603411200,23/10/2020,ETHMXN,8689.56,8767.24,8370.2,8531.69,1988.35,17005339.13,7.939749038,7.94%,,,
1603324800,22/10/2020,ETHMXN,8296.69,8840,8280.77,8689.56,1906.36,16448984.26,-20.60838457,-20.61%,,,
1603238400,21/10/2020,ETHMXN,7790.55,8471.17,7765,8296.69,2443.18,20106925.62,-20.71644332,-20.72%,,,
1603152000,20/10/2020,ETHMXN,8052.99,8075.55,7750.54,7790.55,575.5,4527288.54,45.60208514,45.60%,,,
1603065600,19/10/2020,ETHMXN,7982.89,8117.5,7900,8052.99,750.21,6013650.93,-9.344050333,-9.34%,,,
1602979200,18/10/2020,ETHMXN,7824.68,8000,7785.89,7982.89,172.07,1362261.64,-91.94513861,-91.95%,,,
1602892800,17/10/2020,ETHMXN,7755.3,7847.78,7717,7824.68,198.64,1544622.17,-34.92750705,-34.93%,,,
1602806400,16/10/2020,ETHMXN,8043.78,8113.42,7711.36,7755.3,681.47,5363007.85,42.33201755,42.33%,,,
1602720000,15/10/2020,ETHMXN,8088.34,8150,7982.8,8043.78,458.74,3701372.1,9.713563238,9.71%,,,
1602633600,14/10/2020,ETHMXN,8139.08,8241.36,7977.95,8088.34,499.24,4040027.97,10.16344844,10.16%,,,
1602547200,13/10/2020,ETHMXN,8195.38,8224.27,8007.82,8139.08,683.11,5541080.29,8.241718025,8.24%,,,
1602460800,12/10/2020,ETHMXN,7909.67,8350,7761.78,8195.38,1932.12,15622389.56,-14.78738381,-14.79%,,,
1602374400,11/10/2020,ETHMXN,7818.35,7949.99,7785,7909.67,367.08,2885191.89,-24.87741092,-24.88%,,,
1602288000,10/10/2020,ETHMXN,7732.96,7994.99,7715.5,7818.35,691.2,5457741.7,-12.35387731,-12.35%,,,
1602201600,09/10/2020,ETHMXN,7519.28,7789.98,7438.01,7732.96,649.63,4969587.8,-32.89256962,-32.89%,,,
1602115200,08/10/2020,ETHMXN,7363.84,7572.9,7192.33,7519.28,646.48,4800365.71,-24.04405395,-24.04%,,,
1602028800,07/10/2020,ETHMXN,7419.25,7419.25,7240.57,7363.84,685.53,5021347.16,8.082797252,8.08%,,,
1601942400,06/10/2020,ETHMXN,7574.86,7613.33,7325,7419.25,970.87,7217406.86,16.02789251,16.03%,,,
1601856000,05/10/2020,ETHMXN,7633.63,7680,7510,7574.86,428.06,3237735.24,13.72938373,13.73%,,,
1601769600,04/10/2020,ETHMXN,7513.24,7686.95,7460.02,7633.63,218.92,1655288.56,-54.99269139,-54.99%,,,
