Year,Mo,Min,Max,Close,Total%
2021,Oct,14569,16429,15499,2.26%
2021,Nov,14528,16382,15455,1.97%
2021,Dec,13915,15691,14803,-2.33%
2022,Jan,14166,15974,15070,-0.57%
2022,Feb,14112,15914,15013,-0.94%
2022,Mar,14145,15951,15048,-0.71%
2022,Apr,14548,16406,15477,2.12%
2022,May,14576,16436,15506,2.31%
2022,Jun,15304,17258,16281,7.42%
2022,Jul,15743,17753,16748,10.50%
2022,Aug,15632,17628,16630,9.73%
2022,Sep,16025,18071,17048,12.48%
2022,Oct,16826,18974,17900,18.11%
2022,Nov,15985,18025,17005,12.20%
2022,Dec,15685,17687,16686,10.10%
2023,Jan,16469,18571,17520,15.60%
2023,Feb,16539,18651,17595,16.09%
2023,Mar,17367,19584,18475,21.90%
2023,Apr,18235,20563,19399,28.00%
2023,May,19147,21591,20369,34.40%
2023,Jun,18190,20512,19351,27.68%
2023,Jul,17280,19486,18383,21.29%
2023,Aug,16931,19093,18012,18.84%
2023,Sep,16947,19111,18029,18.96%
2023,Oct,17307,19517,18412,21.48%
