Fecha,Min,Max,Close,"Mo,%",Total%
15/10/2021,26953,31011,28982,0.70%,0.70%
15/11/2021,27151,31239,29195,0.70%,1.50%
15/12/2021,27456,31590,29523,1.10%,2.60%
15/01/2022,28631,32941,30786,4.30%,7.00%
15/02/2022,27211,31307,29259,-5.00%,1.70%
15/03/2022,27110,31191,29150,-0.40%,1.30%
15/04/2022,27111,31193,29152,0.00%,1.30%
15/05/2022,26579,30581,28580,-2.00%,-0.70%
15/06/2022,26333,30297,28315,-0.90%,-1.60%
15/07/2022,27807,31993,29900,5.60%,3.90%
15/08/2022,28463,32747,30605,2.40%,6.40%
15/09/2022,29160,33550,31355,2.50%,9.00%
15/10/2022,31355,38582,36058,15.00%,25.30%
15/11/2022,33234,38236,35735,-0.90%,24.20%
15/12/2022,33295,38307,35801,0.20%,24.40%
15/01/2023,35492,40834,38163,6.60%,32.60%
15/02/2023,34831,40075,37453,-1.90%,30.20%
15/03/2023,34925,40183,37554,0.30%,30.50%
15/04/2023,37554,45186,42230,12.50%,46.80%
15/05/2023,42230,49073,45863,8.60%,59.40%
15/06/2023,36444,45863,39187,-14.60%,36.20%
15/07/2023,33205,39187,35704,-8.90%,24.10%
15/08/2023,32571,37475,35023,-1.90%,21.70%
15/09/2023,33078,38058,35568,1.60%,23.60%
15/10/2023,33720,38796,36258,1.90%,26.00%
